Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,51,240.0,46.9,92.8,.505,13.7,36.1,.379,33.2,56.7,.585,16.8,21.3,.788,10.4,30.9,41.4,30.8,7.7,5.9,13.6,22.4,124.2
2,Milwaukee Bucks,50,241.5,44.5,89.5,.498,14.2,37.6,.378,30.3,51.9,.584,20.4,26.4,.773,9.4,34.6,44.0,26.7,6.7,5.3,12.9,20.3,123.7
3,Atlanta Hawks,50,242.0,43.8,93.8,.467,13.8,38.0,.364,30.0,55.8,.538,20.2,24.9,.811,13.1,31.8,44.9,26.1,7.8,4.4,13.5,18.9,121.6
4,Oklahoma City Thunder,50,242.0,44.6,89.0,.501,13.2,33.8,.389,31.5,55.2,.570,18.4,22.1,.832,8.7,32.9,41.6,27.3,8.2,6.6,12.6,19.6,120.8
5,Boston Celtics,50,242.5,43.2,90.5,.477,16.2,42.9,.379,26.9,47.7,.565,17.7,22.0,.807,11.0,36.5,47.5,25.9,6.4,6.6,12.6,17.1,120.3
6,Los Angeles Clippers,49,240.5,43.5,87.6,.497,13.3,33.2,.399,30.2,54.3,.556,18.6,22.9,.811,10.4,32.9,43.3,26.3,8.1,5.3,12.9,19.5,118.8
7,Philadelphia 76ers,49,241.0,42.4,89.1,.475,11.4,31.4,.364,30.9,57.7,.536,22.6,27.2,.832,11.0,32.1,43.1,24.8,8.9,5.9,11.9,20.9,118.8
8,Golden State Warriors,47,243.2,43.0,91.2,.472,14.8,39.6,.373,28.3,51.6,.548,17.9,22.6,.792,12.4,34.0,46.4,28.4,6.6,4.0,14.5,20.7,118.7
9,Sacramento Kings,49,242.6,43.7,90.9,.481,14.9,40.3,.371,28.7,50.6,.568,16.1,22.0,.729,10.4,33.0,43.3,28.7,7.2,3.9,13.5,20.0,118.3
10,Dallas Mavericks,50,240.0,42.6,89.7,.474,15.1,40.6,.372,27.5,49.1,.559,18.0,23.7,.759,10.0,31.4,41.5,25.3,6.6,4.3,12.4,19.2,118.2
